window_id,is_bar_start_idx,is_bar_end_idx,nominal_is_bar_end_idx,oos_bar_start_idx,oos_bar_end_idx,is_start_date,is_end_date,nominal_is_end_date,oos_start_date,oos_end_date,n_is_bars,n_nominal_is_bars,n_oos_bars,purge_bars,regime_aware
0,0,100,100,100,150,2022-01-01,2022-04-10,2022-04-10,2022-04-11,2022-05-30,100,100,50,0,False
1,50,150,150,150,200,2022-02-20,2022-05-30,2022-05-30,2022-05-31,2022-07-19,100,100,50,0,False
2,100,200,200,200,250,2022-04-11,2022-07-19,2022-07-19,2022-07-20,2022-09-07,100,100,50,0,False
3,150,250,250,250,300,2022-05-31,2022-09-07,2022-09-07,2022-09-08,2022-10-27,100,100,50,0,False
4,200,300,300,300,350,2022-07-20,2022-10-27,2022-10-27,2022-10-28,2022-12-16,100,100,50,0,False
5,250,350,350,350,400,2022-09-08,2022-12-16,2022-12-16,2022-12-17,2023-02-04,100,100,50,0,False
6,300,400,400,400,450,2022-10-28,2023-02-04,2023-02-04,2023-02-05,2023-03-26,100,100,50,0,False
7,350,450,450,450,500,2022-12-17,2023-03-26,2023-03-26,2023-03-27,2023-05-15,100,100,50,0,False
8,400,500,500,500,550,2023-02-05,2023-05-15,2023-05-15,2023-05-16,2023-07-04,100,100,50,0,False
9,450,550,550,550,600,2023-03-27,2023-07-04,2023-07-04,2023-07-05,2023-08-23,100,100,50,0,False
10,500,600,600,600,650,2023-05-16,2023-08-23,2023-08-23,2023-08-24,2023-10-12,100,100,50,0,False
11,550,650,650,650,700,2023-07-05,2023-10-12,2023-10-12,2023-10-13,2023-12-01,100,100,50,0,False
12,600,700,700,700,750,2023-08-24,2023-12-01,2023-12-01,2023-12-02,2024-01-20,100,100,50,0,False
13,650,750,750,750,800,2023-10-13,2024-01-20,2024-01-20,2024-01-21,2024-03-10,100,100,50,0,False
14,700,800,800,800,850,2023-12-02,2024-03-10,2024-03-10,2024-03-11,2024-04-29,100,100,50,0,False
15,750,850,850,850,900,2024-01-21,2024-04-29,2024-04-29,2024-04-30,2024-06-18,100,100,50,0,False
16,800,900,900,900,950,2024-03-11,2024-06-18,2024-06-18,2024-06-19,2024-08-07,100,100,50,0,False
17,850,950,950,950,1000,2024-04-30,2024-08-07,2024-08-07,2024-08-08,2024-09-26,100,100,50,0,False
18,900,1000,1000,1000,1050,2024-06-19,2024-09-26,2024-09-26,2024-09-27,2024-11-15,100,100,50,0,False
19,950,1050,1050,1050,1100,2024-08-08,2024-11-15,2024-11-15,2024-11-16,2025-01-04,100,100,50,0,False
20,1000,1100,1100,1100,1150,2024-09-27,2025-01-04,2025-01-04,2025-01-05,2025-02-23,100,100,50,0,False
21,1050,1150,1150,1150,1200,2024-11-16,2025-02-23,2025-02-23,2025-02-24,2025-04-14,100,100,50,0,False
22,1100,1200,1200,1200,1250,2025-01-05,2025-04-14,2025-04-14,2025-04-15,2025-06-03,100,100,50,0,False
23,1150,1250,1250,1250,1300,2025-02-24,2025-06-03,2025-06-03,2025-06-04,2025-07-23,100,100,50,0,False
24,1200,1300,1300,1300,1350,2025-04-15,2025-07-23,2025-07-23,2025-07-24,2025-09-11,100,100,50,0,False
25,1250,1350,1350,1350,1400,2025-06-04,2025-09-11,2025-09-11,2025-09-12,2025-10-31,100,100,50,0,False
26,1300,1400,1400,1400,1450,2025-07-24,2025-10-31,2025-10-31,2025-11-01,2025-12-20,100,100,50,0,False
27,1350,1450,1450,1450,1500,2025-09-12,2025-12-20,2025-12-20,2025-12-21,2026-02-08,100,100,50,0,False
28,1400,1500,1500,1500,1550,2025-11-01,2026-02-08,2026-02-08,2026-02-09,2026-03-30,100,100,50,0,False
