window_id,is_start,is_end,oos_start,oos_end,final_equity,total_return_pct,max_drawdown,sharpe,num_trades,win_rate,profit_factor,avg_trade_pnl,avg_trade_pnl_pct
0,2022-01-03 00:00:00,2022-05-25 00:00:00,2022-05-26 00:00:00,2022-08-08 00:00:00,99121.73999999979,-0.00859600785464032,-0.00859600785464032,-22.6268237984528,28.0,0.0,0.0,-30.748892857142827,-2.0
1,2022-03-16 00:00:00,2022-08-08 00:00:00,2022-08-09 00:00:00,2022-10-18 00:00:00,99000.92099999993,-0.009990790000000693,-0.009990790000000693,-19.67107446023156,35.0,0.0,0.0,-28.545114285714245,-2.0
2,2022-05-26 00:00:00,2022-10-18 00:00:00,2022-10-19 00:00:00,2022-12-29 00:00:00,98919.23799999982,-0.010807620000001794,-0.010807620000001794,-20.478903546696625,33.0,0.0,0.0,-32.214121212121206,-2.0
3,2022-08-09 00:00:00,2022-12-29 00:00:00,2022-12-30 00:00:00,2023-03-14 00:00:00,98955.10499999985,-0.010281558920061662,-0.010281558920061662,-19.57805164352529,33.0,0.0,0.0,-31.03751515151514,-2.0
4,2022-10-19 00:00:00,2023-03-14 00:00:00,2023-03-15 00:00:00,2023-05-24 00:00:00,99091.35599999981,-0.008890715738545829,-0.008890715738545829,-19.20329530544506,26.0,0.0,0.0,-33.40938461538458,-2.0
5,2022-12-30 00:00:00,2023-05-24 00:00:00,2023-05-25 00:00:00,2023-08-07 00:00:00,99385.8479999999,-0.006141520000001011,-0.006141520000001011,-16.826621779175714,24.0,0.0,0.0,-24.820458333333296,-2.0
6,2023-03-15 00:00:00,2023-08-07 00:00:00,2023-08-08 00:00:00,2023-10-17 00:00:00,98690.49699999978,-0.01291760193895064,-0.01291760193895064,-19.044447079881405,38.0,0.0,0.0,-34.46060526315783,-2.0
7,2023-05-25 00:00:00,2023-10-17 00:00:00,2023-10-18 00:00:00,2023-12-28 00:00:00,99132.29699999985,-0.008485776821492541,-0.008485776821492541,-13.219922974043943,32.0,0.0,0.0,-27.115718749999967,-1.9056482670089858
8,2023-08-08 00:00:00,2023-12-28 00:00:00,2023-12-29 00:00:00,2024-03-12 00:00:00,99240.07899999994,-0.0075992100000006335,-0.0075992100000006335,-21.9509602956021,27.0,0.0,0.0,-27.429481481481414,-2.0
9,2023-10-18 00:00:00,2024-03-12 00:00:00,2024-03-13 00:00:00,2024-05-22 00:00:00,99110.60499999986,-0.008893950000001372,-0.008893950000001372,-19.676113520946675,27.0,0.0,0.0,-32.94055555555554,-2.0
10,2023-12-29 00:00:00,2024-05-22 00:00:00,2024-05-23 00:00:00,2024-08-05 00:00:00,99238.37399999982,-0.007418100949675321,-0.007418100949675321,-19.712445954564647,27.0,0.0,0.0,-27.421629629629596,-2.0
11,2024-03-13 00:00:00,2024-08-05 00:00:00,2024-08-06 00:00:00,2024-10-15 00:00:00,98992.20699999985,-0.009973803994836605,-0.009973803994836605,-13.893987460657069,30.0,0.0,0.0,-32.9630333333333,-2.0
12,2024-05-23 00:00:00,2024-10-15 00:00:00,2024-10-16 00:00:00,2024-12-26 00:00:00,99322.06799999988,-0.00669474005711701,-0.00669474005711701,-18.214268215212982,18.0,0.0,0.0,-34.62705555555553,-2.0
13,2024-08-06 00:00:00,2024-12-26 00:00:00,2024-12-27 00:00:00,2025-03-12 00:00:00,99023.67699999984,-0.009573969489831358,-0.009573969489831358,-20.529983073983804,28.0,0.0,0.0,-34.86867857142854,-2.0
14,2024-10-16 00:00:00,2025-03-12 00:00:00,2025-03-13 00:00:00,2025-05-22 00:00:00,98826.28499999986,-0.011636445637447479,-0.011636445637447479,-22.816804035108728,38.0,0.0,0.0,-30.887236842105214,-2.0
15,2024-12-27 00:00:00,2025-05-22 00:00:00,2025-05-23 00:00:00,2025-08-05 00:00:00,99245.13499999986,-0.007548650000001378,-0.007548650000001378,-20.729241235839947,27.0,0.0,0.0,-27.1828888888889,-2.0
16,2025-03-13 00:00:00,2025-08-05 00:00:00,2025-08-06 00:00:00,2025-10-15 00:00:00,99453.48899999993,-0.005465110000000717,-0.005465110000000717,-21.51197253415329,20.0,0.0,0.0,-24.48035,-2.0
17,2025-05-23 00:00:00,2025-10-15 00:00:00,2025-10-16 00:00:00,2025-12-26 00:00:00,98879.95599999982,-0.011200440000001866,-0.011200440000001866,-18.084113424841235,31.0,0.0,0.0,-35.52332258064514,-2.0
18,2025-08-06 00:00:00,2025-12-26 00:00:00,2025-12-29 00:00:00,2026-03-11 00:00:00,98675.13399999982,-0.013041053185539386,-0.013041053185539386,-14.9672445025777,35.0,0.0,0.0,-37.85331428571423,-2.0
