window_id,is_start,is_end,oos_start,oos_end,nominal_is_start,nominal_is_end,purge_bars,regime_aware,regime_boundary_aware_purge,unsafe_oos_bars,last_oos_regime_train_samples,min_oos_regime_train_samples,regime_safety_passed,coverage_adjusted,covered_regimes,required_regimes,final_equity,total_return_pct,max_drawdown,sharpe
0,2022-01-03 00:00:00,2022-05-19 00:00:00,2022-05-26 00:00:00,2022-08-08 00:00:00,2022-01-03 00:00:00,2022-05-19 00:00:00,0,False,True,16,49,2,False,0,0,0,100000.0,0.0,0.0,
1,2022-03-16 00:00:00,2022-08-05 00:00:00,2022-08-09 00:00:00,2022-10-18 00:00:00,2022-03-16 00:00:00,2022-08-05 00:00:00,0,False,True,25,26,0,False,0,0,0,100000.0,0.0,0.0,
2,2022-05-26 00:00:00,2022-10-17 00:00:00,2022-10-19 00:00:00,2022-12-29 00:00:00,2022-05-26 00:00:00,2022-10-17 00:00:00,0,False,True,15,47,0,False,0,0,0,100000.0,0.0,0.0,
3,2022-08-09 00:00:00,2022-12-28 00:00:00,2022-12-30 00:00:00,2023-03-14 00:00:00,2022-08-09 00:00:00,2022-12-28 00:00:00,0,False,True,39,23,0,False,0,0,0,100000.0,0.0,0.0,
4,2022-10-19 00:00:00,2023-03-13 00:00:00,2023-03-15 00:00:00,2023-05-24 00:00:00,2022-10-19 00:00:00,2023-03-13 00:00:00,0,False,True,17,37,1,False,0,0,0,100000.0,0.0,0.0,
5,2022-12-30 00:00:00,2023-05-22 00:00:00,2023-05-25 00:00:00,2023-08-07 00:00:00,2022-12-30 00:00:00,2023-05-22 00:00:00,0,False,True,1,45,2,False,0,0,0,100000.0,0.0,0.0,
6,2023-03-15 00:00:00,2023-08-04 00:00:00,2023-08-08 00:00:00,2023-10-17 00:00:00,2023-03-15 00:00:00,2023-08-04 00:00:00,0,False,True,11,53,0,False,0,0,0,100000.0,0.0,0.0,
7,2023-05-25 00:00:00,2023-10-16 00:00:00,2023-10-18 00:00:00,2023-12-28 00:00:00,2023-05-25 00:00:00,2023-10-16 00:00:00,0,False,True,21,48,0,False,0,0,0,100000.0,0.0,0.0,
8,2023-08-08 00:00:00,2023-12-27 00:00:00,2023-12-29 00:00:00,2024-03-12 00:00:00,2023-08-08 00:00:00,2023-12-27 00:00:00,0,False,True,11,29,3,False,0,0,0,100000.0,0.0,0.0,
9,2023-10-18 00:00:00,2024-03-08 00:00:00,2024-03-13 00:00:00,2024-05-22 00:00:00,2023-10-18 00:00:00,2024-03-08 00:00:00,0,False,True,6,57,1,False,0,0,0,100000.0,0.0,0.0,
10,2023-12-29 00:00:00,2024-05-21 00:00:00,2024-05-23 00:00:00,2024-08-05 00:00:00,2023-12-29 00:00:00,2024-05-21 00:00:00,0,False,True,11,0,0,False,0,0,0,100000.0,0.0,0.0,
11,2024-03-13 00:00:00,2024-08-02 00:00:00,2024-08-06 00:00:00,2024-10-15 00:00:00,2024-03-13 00:00:00,2024-08-02 00:00:00,0,False,True,20,47,0,False,0,0,0,100000.0,0.0,0.0,
12,2024-05-23 00:00:00,2024-10-14 00:00:00,2024-10-16 00:00:00,2024-12-26 00:00:00,2024-05-23 00:00:00,2024-10-14 00:00:00,0,False,True,9,42,5,False,0,0,0,100000.0,0.0,0.0,
13,2024-08-06 00:00:00,2024-12-20 00:00:00,2024-12-27 00:00:00,2025-03-12 00:00:00,2024-08-06 00:00:00,2024-12-20 00:00:00,0,False,True,18,0,0,False,0,0,0,100000.0,0.0,0.0,
14,2024-10-16 00:00:00,2025-03-11 00:00:00,2025-03-13 00:00:00,2025-05-22 00:00:00,2024-10-16 00:00:00,2025-03-11 00:00:00,0,False,True,46,34,0,False,0,0,0,100000.0,0.0,0.0,
15,2024-12-27 00:00:00,2025-05-21 00:00:00,2025-05-23 00:00:00,2025-08-05 00:00:00,2024-12-27 00:00:00,2025-05-21 00:00:00,0,False,True,31,23,0,False,0,0,0,100000.0,0.0,0.0,
16,2025-03-13 00:00:00,2025-08-04 00:00:00,2025-08-06 00:00:00,2025-10-15 00:00:00,2025-03-13 00:00:00,2025-08-04 00:00:00,0,False,True,14,22,1,False,0,0,0,100000.0,0.0,0.0,
17,2025-05-23 00:00:00,2025-10-10 00:00:00,2025-10-16 00:00:00,2025-12-26 00:00:00,2025-05-23 00:00:00,2025-10-10 00:00:00,0,False,True,11,44,0,False,0,0,0,100000.0,0.0,0.0,
18,2025-08-06 00:00:00,2025-12-24 00:00:00,2025-12-29 00:00:00,2026-03-11 00:00:00,2025-08-06 00:00:00,2025-12-24 00:00:00,0,False,True,10,40,0,False,0,0,0,100000.0,0.0,0.0,
